2014-01-01 03:51:00+00,767.3945
2014-01-01 03:52:00+00,767.3945
2014-01-01 03:53:00+00,767.3779
2014-01-01 03:54:00+00,767.1003
2014-01-01 03:55:00+00,766.6952
2014-01-01 03:56:00+00,765.7200
2014-01-01 03:57:00+00,766.2247
2014-01-01 03:58:00+00,767.5585
2014-01-01 03:59:00+00,768.6747
2014-01-01 04:00:00+00,768.4078
2014-01-01 04:01:00+00,768.9800
2014-01-01 04:02:00+00,768.9967
2014-01-01 04:03:00+00,768.8267
2014-01-01 04:04:00+00,768.6550
2014-01-01 04:05:00+00,768.6552
2014-01-01 04:06:00+00,768.6517
2014-01-01 04:07:00+00,768.9827
2014-01-01 04:08:00+00,768.9877
2014-01-01 04:09:00+00,769.3267
2014-01-01 04:10:00+00,769.0668
2014-01-01 04:11:00+00,769.2517
2014-01-01 04:12:00+00,769.1594
2014-01-01 04:13:00+00,769.1594
2014-01-01 04:14:00+00,769.2500
2014-01-01 04:15:00+00,769.3333
2014-01-01 04:16:00+00,769.3147
2014-01-01 04:17:00+00,769.3147
2014-01-01 04:18:00+00,769.3148
2014-01-01 04:19:00+00,769.3850
2014-01-01 04:20:00+00,769.6209
2014-01-01 04:21:00+00,769.3887
2014-01-01 04:22:00+00,770.2737
2014-01-01 04:23:00+00,769.7867
2014-01-01 04:24:00+00,769.9017
2014-01-01 04:25:00+00,771.4925
2014-01-01 04:26:00+00,771.6400
2014-01-01 04:27:00+00,771.5898
2014-01-01 04:28:00+00,771.5982
2014-01-01 04:29:00+00,772.2042
2014-01-01 04:30:00+00,770.5381
2014-01-01 04:31:00+00,770.4819
2014-01-01 04:32:00+00,771.1847
2014-01-01 04:33:00+00,770.4252
2014-01-01 04:34:00+00,770.6583
2014-01-01 04:35:00+00,770.1842
2014-01-01 04:36:00+00,770.5493
2014-01-01 04:37:00+00,770.2441
2014-01-01 04:38:00+00,770.2424
2014-01-01 04:39:00+00,770.8363
2014-01-01 04:40:00+00,770.5215
2014-01-01 04:41:00+00,771.0048
2014-01-01 04:42:00+00,770.6748
2014-01-01 04:43:00+00,770.8192
2014-01-01 04:44:00+00,770.9033
2014-01-01 04:45:00+00,770.8273
2014-01-01 04:46:00+00,770.8452
2014-01-01 04:47:00+00,770.4585
2014-01-01 04:48:00+00,770.7582
2014-01-01 04:49:00+00,770.3802
2014-01-01 04:50:00+00,770.4565
2014-01-01 04:51:00+00,770.4448
2014-01-01 04:52:00+00,770.7113
2014-01-01 04:53:00+00,770.7283
2014-01-01 04:54:00+00,771.1185
2014-01-01 04:55:00+00,770.8600
2014-01-01 04:56:00+00,770.8567
2014-01-01 04:57:00+00,771.3847
2014-01-01 04:58:00+00,771.4232
2014-01-01 04:59:00+00,771.6210
2014-01-01 05:00:00+00,771.7908
2014-01-01 05:01:00+00,771.9557
2014-01-01 05:02:00+00,771.8902
2014-01-01 05:03:00+00,771.7903
2014-01-01 05:04:00+00,771.9890
2014-01-01 05:05:00+00,772.6740
2014-01-01 05:06:00+00,772.3623
2014-01-01 05:07:00+00,771.7617
2014-01-01 05:08:00+00,771.7205
2014-01-01 05:09:00+00,771.2278
2014-01-01 05:10:00+00,770.8940
2014-01-01 05:11:00+00,771.0557
2014-01-01 05:12:00+00,771.5450
2014-01-01 05:13:00+00,772.2300
2014-01-01 05:14:00+00,771.6302
2014-01-01 05:15:00+00,771.6649
2014-01-01 05:16:00+00,771.6679
2014-01-01 05:17:00+00,771.7784
2014-01-01 05:18:00+00,772.5748
2014-01-01 05:19:00+00,773.1292
2014-01-01 05:20:00+00,772.6177
2014-01-01 05:21:00+00,772.3061
2014-01-01 05:22:00+00,772.6378
2014-01-01 05:23:00+00,773.9044
2014-01-01 05:24:00+00,773.0215
2014-01-01 05:25:00+00,772.4238
2014-01-01 05:26:00+00,773.3391
2014-01-01 05:27:00+00,773.4664
2014-01-01 05:28:00+00,773.3589
2014-01-01 05:29:00+00,773.3562
2014-01-01 05:30:00+00,772.9154
2014-01-01 05:31:00+00,772.7583
2014-01-01 05:32:00+00,772.9200
2014-01-01 05:33:00+00,772.8000
2014-01-01 05:34:00+00,773.2450
2014-01-01 05:35:00+00,773.3297
2014-01-01 05:36:00+00,772.8516
2014-01-01 05:37:00+00,773.0149
2014-01-01 05:38:00+00,773.6233
2014-01-01 05:39:00+00,773.6330
2014-01-01 05:40:00+00,773.6592
2014-01-01 05:41:00+00,773.4950
2014-01-01 05:42:00+00,773.4533
2014-01-01 05:43:00+00,773.8067
2014-01-01 05:44:00+00,773.9817
2014-01-01 05:45:00+00,773.9097
2014-01-01 05:46:00+00,773.6810
2014-01-01 05:47:00+00,773.8468
2014-01-01 05:48:00+00,773.6633
2014-01-01 05:49:00+00,773.5183
2014-01-01 05:50:00+00,774.1900
2014-01-01 05:51:00+00,774.1917
2014-01-01 05:52:00+00,774.1583
2014-01-01 05:53:00+00,773.7945
2014-01-01 05:54:00+00,774.2633
2014-01-01 05:55:00+00,774.0985
2014-01-01 05:56:00+00,774.0985
2014-01-01 05:57:00+00,774.1300
2014-01-01 05:58:00+00,773.9783
2014-01-01 05:59:00+00,773.9033
2014-01-01 06:00:00+00,773.6182
2014-01-01 06:01:00+00,773.5117
2014-01-01 06:02:00+00,773.5117
2014-01-01 06:03:00+00,773.3433
2014-01-01 06:04:00+00,773.0750
2014-01-01 06:05:00+00,772.7200
2014-01-01 06:06:00+00,771.7583
2014-01-01 06:07:00+00,771.7583
2014-01-01 06:08:00+00,771.6833
2014-01-01 06:09:00+00,771.9997
2014-01-01 06:10:00+00,772.0333
2014-01-01 06:11:00+00,772.0350
2014-01-01 06:12:00+00,771.7422
2014-01-01 06:13:00+00,771.5852
2014-01-01 06:14:00+00,771.4135
2014-01-01 06:15:00+00,771.3968
